Cancer_Sites,Age_Groups,Count
Other Biliary,70-79 years,809.0
Endocrine System,80+,780.0
Soft Tissue including Heart,80+,765.0
Pancreas,40-49 years,719.0
Small Intestine,50-59 years,694.0
Soft Tissue including Heart,50-59 years,692.0
Brain and Other Nervous System,40-49 years,685.0
Other Biliary,80+,683.0
Larynx,80+,632.0
Other Biliary,60-69 years,614.0
Lymphomas,10-19 years,606.0
Female Genital System,20-29 years,602.0
Leukemias,30-39 years,596.0
Male and Female Breast,20-29 years,566.0
Stomach,40-49 years,552.0
Brain and Other Nervous System,30-39 years,538.0
Small Intestine,80+,532.0
Brain and Other Nervous System,0-9 years,498.0
Mesothelioma,70-79 years,463.0
"Male and Female Breast, In Situ",30-39 years,453.0
Leukemias,10-19 years,438.0
Mesothelioma,80+,417.0
Gallbladder,70-79 years,403.0
Myeloma,40-49 years,402.0
Colon and Rectum,20-29 years,401.0
Endocrine System,10-19 years,396.0
Leukemias,20-29 years,357.0
Gallbladder,60-69 years,347.0
Brain and Other Nervous System,20-29 years,336.0
Gallbladder,80+,328.0
Brain and Other Nervous System,10-19 years,311.0
Eye and Orbit,60-69 years,307.0
Miscellaneous,30-39 years,305.0
Liver and Intrahepatic Bile Duct,40-49 years,293.0
Soft Tissue including Heart,40-49 years,280.0
Oral Cavity and Pharynx,30-39 years,273.0
Small Intestine,40-49 years,254.0
Lung and Bronchus,30-39 years,252.0
Mesothelioma,60-69 years,238.0
Other Biliary,50-59 years,237.0
Larynx,40-49 years,235.0
Other Digestive Organs,70-79 years,230.0
Esophagus,40-49 years,230.0
"Nose, Nasal Cavity and Middle Ear",60-69 years,224.0
Other Digestive Organs,60-69 years,216.0
Eye and Orbit,70-79 years,209.0
Soft Tissue including Heart,30-39 years,208.0
Other Digestive Organs,80+,208.0
Eye and Orbit,50-59 years,205.0
"Nose, Nasal Cavity and Middle Ear",70-79 years,192.0
"Peritoneum, Omentum and Mesentery",60-69 years,189.0
Bones and Joints,10-19 years,185.0
"Peritoneum, Omentum and Mesentery",70-79 years,178.0
Urinary System,20-29 years,174.0
Bones and Joints,60-69 years,159.0
Gallbladder,50-59 years,157.0
Male Genital System,10-19 years,156.0
Stomach,30-39 years,150.0
Eye and Orbit,80+,148.0
Soft Tissue including Heart,20-29 years,147.0
"Nose, Nasal Cavity and Middle Ear",50-59 years,146.0
"Nose, Nasal Cavity and Middle Ear",80+,139.0
Endocrine System,0-9 years,123.0
Bones and Joints,70-79 years,122.0
Bones and Joints,50-59 years,117.0
Miscellaneous,20-29 years,117.0
Other Digestive Organs,50-59 years,117.0
Colon and Rectum,10-19 years,116.0
Pancreas,30-39 years,111.0
Miscellaneous,0-9 years,108.0
Urinary System,0-9 years,106.0
Retroperitoneum,60-69 years,103.0
"Peritoneum, Omentum and Mesentery",80+,100.0
Lymphomas,0-9 years,100.0
Bones and Joints,80+,93.0
Mesothelioma,50-59 years,92.0
Retroperitoneum,70-79 years,89.0
Oral Cavity and Pharynx,20-29 years,83.0
"Peritoneum, Omentum and Mesentery",50-59 years,78.0
Soft Tissue including Heart,10-19 years,75.0
Soft Tissue including Heart,0-9 years,74.0
Skin excluding Basal and Squamous,10-19 years,74.0
Liver and Intrahepatic Bile Duct,30-39 years,71.0
Bones and Joints,30-39 years,70.0
Small Intestine,30-39 years,70.0
Bones and Joints,20-29 years,67.0
Retroperitoneum,50-59 years,63.0
Female Genital System,10-19 years,59.0
Eye and Orbit,40-49 years,53.0
Bones and Joints,40-49 years,47.0
Bones and Joints,0-9 years,47.0
Lung and Bronchus,20-29 years,36.0
Miscellaneous,10-19 years,35.0
Myeloma,30-39 years,22.0
Gallbladder,40-49 years,21.0
"Nose, Nasal Cavity and Middle Ear",40-49 years,17.0
Eye and Orbit,0-9 years,17.0
Other Biliary,40-49 years,17.0
"Trachea, Mediastinum and Other Respiratory Organs",60-69 years,16.0
